Timestamp,Operation,ResponseTime(ms),Success
1783156113044,REGISTER_PATIENT,114,true
1783156113165,REGISTER_PATIENT,120,true
1783156113293,REGISTER_PATIENT,127,true
1783156113409,REGISTER_PATIENT,115,true
1783156113531,REGISTER_PATIENT,121,true
1783156113676,REGISTER_PATIENT,144,true
1783156113826,REGISTER_PATIENT,149,true
1783156113971,REGISTER_PATIENT,145,true
1783156114099,REGISTER_PATIENT,127,true
1783156114220,REGISTER_PATIENT,120,true
1783156114334,REGISTER_PATIENT,114,true
1783156114445,REGISTER_PATIENT,110,true
1783156114562,REGISTER_PATIENT,117,true
1783156114682,REGISTER_PATIENT,119,true
1783156114792,REGISTER_PATIENT,109,true
1783156114901,REGISTER_PATIENT,108,true
1783156115015,REGISTER_PATIENT,114,true
1783156115124,REGISTER_PATIENT,108,true
1783156115232,REGISTER_PATIENT,107,true
1783156115345,REGISTER_PATIENT,112,true
1783156115453,REGISTER_PATIENT,108,true
1783156115562,REGISTER_PATIENT,108,true
1783156115668,REGISTER_PATIENT,105,true
1783156115806,REGISTER_PATIENT,138,true
1783156115946,REGISTER_PATIENT,140,true
1783156116084,REGISTER_PATIENT,138,true
1783156116208,REGISTER_PATIENT,123,true
1783156116320,REGISTER_PATIENT,112,true
1783156116442,REGISTER_PATIENT,121,true
1783156116554,REGISTER_PATIENT,112,true
1783156116669,REGISTER_PATIENT,114,true
1783156116783,REGISTER_PATIENT,113,true
1783156116896,REGISTER_PATIENT,112,true
1783156117008,REGISTER_PATIENT,111,true
1783156117129,REGISTER_PATIENT,121,true
1783156117238,REGISTER_PATIENT,108,true
1783156117348,REGISTER_PATIENT,110,true
1783156117463,REGISTER_PATIENT,114,true
1783156117594,REGISTER_PATIENT,130,true
1783156117765,REGISTER_PATIENT,170,true
1783156117897,REGISTER_PATIENT,131,true
1783156118049,REGISTER_PATIENT,151,true
1783156118209,REGISTER_PATIENT,157,true
1783156118343,REGISTER_PATIENT,134,true
1783156118464,REGISTER_PATIENT,120,true
1783156118590,REGISTER_PATIENT,126,true
1783156118716,REGISTER_PATIENT,125,true
1783156118834,REGISTER_PATIENT,118,true
1783156118945,REGISTER_PATIENT,110,true
1783156119056,REGISTER_PATIENT,111,true
1783156119174,REGISTER_PATIENT,117,true
1783156119283,REGISTER_PATIENT,108,true
1783156119412,REGISTER_PATIENT,129,true
1783156119541,REGISTER_PATIENT,128,true
1783156119661,REGISTER_PATIENT,120,true
1783156119776,REGISTER_PATIENT,114,true
1783156119885,REGISTER_PATIENT,108,true
1783156119995,REGISTER_PATIENT,110,true
1783156120147,REGISTER_PATIENT,151,true
1783156120296,REGISTER_PATIENT,148,true
1783156120435,REGISTER_PATIENT,139,true
1783156120559,REGISTER_PATIENT,123,true
1783156120687,REGISTER_PATIENT,128,true
1783156120809,REGISTER_PATIENT,121,true
1783156120921,REGISTER_PATIENT,111,true
1783156121031,REGISTER_PATIENT,110,true
1783156121140,REGISTER_PATIENT,108,true
1783156121248,REGISTER_PATIENT,107,true
1783156121357,REGISTER_PATIENT,109,true
1783156121470,REGISTER_PATIENT,112,true
1783156121582,REGISTER_PATIENT,112,true
1783156121710,REGISTER_PATIENT,127,true
1783156121823,REGISTER_PATIENT,112,true
